category,question,answer
"Pop culture, loisirs et sports","Quel artiste américain était, entre autres, surnommé Bambi ?",Mickael Jackson
"Pop culture, loisirs et sports",Comment s'appelle le terrain permettant auxu joueurs de golf de s'entraîner ?,Un practice
"Pop culture, loisirs et sports",Quel personnage vorace est apparu sur plus de 100 000 bornes d'arcade dans les années 80 ?,Pacman
"Pop culture, loisirs et sports","Dans quelle série d'animation les héros voyagent-ils dans une camionnette baptisée ""Mystery Macine"" ?",Scooby-Doo
"Pop culture, loisirs et sports","Quelle série britannique de Charlie Brooker, propose des épisodes indépendants évoquant les effets sombres de la technologie?",Black Mirror
"Pop culture, loisirs et sports",Quelle chanson de David Bowie évoque un astronaute perdu nommé Major Tom?,Space Oddity
"Pop culture, loisirs et sports",Quel pilote français a remporté 9 titres consécutifs en championnat du monde des rallyes ?,Sébastien Loeb
"Pop culture, loisirs et sports",Quelle console de jeu est connue pour sa manette à trois branches sorti dans les années 90?,Nintendo 64
"Pop culture, loisirs et sports",Comment s'appelle le château dont hérite le capitaine Haddock dans Tintin ?,Moulinsart
"Pop culture, loisirs et sports","Dans quelle série peut-on suivre les aventures de Sheldon, Leonard, Penny et leurs amis?",The Big Bang Theory
"Pop culture, loisirs et sports","Satoshi Tajiri collectionnait et échangeait les insectes dans son enfance. Adulte, il a crée un célèbre jeu vidéo inspiré de cette passion. Lequel ?",Pokémon
Vie quotidienne,Quel plat canadien est composé de frites recouvertes de fromage en grains et de sauce brune ?,La poutine
Vie quotidienne,Quelle est la durée du mandat d'un maire en France ?,6 ans
Vie quotidienne,Quelle célèbre entreprise américaine a été co-fondée par Steve Wozniak ?,Apple
Vie quotidienne,De quelle discipline le Bikram et le Kundalini sont-ils des formes ?,Le yoga
Vie quotidienne,À quel mot le M de MEDEF correspond-il ?,Mouvement
Vie quotidienne,"Quels petits morceaux de pâtes carrées, souvent à base de sarrazin, sont une spécialité savoyarde ?",Les crozets
Vie quotidienne,Quel quotidien français Jean-Paul Sartre a-t-il fondé dans les années 1970 ?,Libération
Vie quotidienne,"Quelle entreprise possède un logo surnommé le ""Swoosh"" ?",Nike
Vie quotidienne,Quel appareil sert à compter le nombre de pas que nous faisons ?,Un podomètre
Vie quotidienne,Quelles instances ont remplacé les Comités d'Entreprises en 2020 ?,"Le CSE, comité social et économique"
Vie quotidienne,Quel professionnel de santé utilise des aiguilles fines pour stimuler des points spécifiques du corps ?,Acupuncteur
Savoirs académiques,Quel opus de l'œuvre d'Agatha Christie se déroule dans un train de wagons-lits roulant entre Istambul et Calais ?,Le Crime de l'Orient Express
Savoirs académiques,"Quel artiste américain est connu pour ses peintures de bandes dessinées ""Whaam!"" et ""Crying Girl"" ?",Roy Lichtenstein
Savoirs académiques,Quel philosophe allemand est l'auteur de 'Critique de la raison pure'?,Emmanuel Kant
Savoirs académiques,Comment s'appelle le lanceur européen permettant de mettre sur orbite des satellites ?,Ariane
