category,question,answer
"Pop culture, loisirs et sports","En 2007, dans quel film d'animation un rat aide-t-il un jeune commis à préparer les soupes dans la cuisine d'un grand restaurant ?",Ratatouille
"Pop culture, loisirs et sports","Au football américain, quel nom donne-t-on à la finale du championnat organisée par la NFL, dont le vainqueur reçoit le trophée Vince Lombardi ?",Le superbowl
"Pop culture, loisirs et sports",Quelle chanteuse a été la première gagnante de la Star Academy en France ?,Jenifer
"Pop culture, loisirs et sports","Dans quelle série de Netfilx, se déroulant dans la haute société londonienne lors de la Régence anglais, rencontre-t-on Lady Violet ?",La Chronique des Bridgerton
"Pop culture, loisirs et sports","Quel film, réalisé par Artus, a atteint les 10 millions d'entrées en salle en 2024 ? ",Un p'tit truc en plus
"Pop culture, loisirs et sports","Quelle série de jeux vidéos, ayant plus de 425 millions d'exemplaires vendus, a un nom anglais signifiant ""vol de voiture"" ? ",Grand Theft Auto
"Pop culture, loisirs et sports",Quel dessinateur a créé les Schtroumpfs ?,Peyo
"Pop culture, loisirs et sports","En 2010, lors de quel tournoi du Grand Chelem Nicolas Mahut et John Isner ont-ils battu le record de durée pour un match de tennis ?",Wimbledon
"Pop culture, loisirs et sports","Quel artiste marseillais devient, en 2020, le plus gros vendeur de disques de l'histoire du rap français ?",Jul
"Pop culture, loisirs et sports","Quel personnage de film d'animation, créé par Michel Ocelot, est un petit garçon africain, opposé à une sorcière nommée Karaba ? ",Kirikou
"Pop culture, loisirs et sports",A quel acteur et humoriste Mélissa Theuriau est-elle mariée ?,Jamel Debbouze
Vie quotidienne,Quel nom générique désigne la graminée aromatique des régions tropicales dont l'huile essentielle constitue un répulsif pour les moustiques ? ,La citronnelle
Vie quotidienne,"Complétez ce slogan publicitaire culte des années 1980 : ""Reviens Léon, j'ai les mêmes à la...",Maison
Vie quotidienne,Une maison qui valait un million d'euros a perdu 10% de sa valeur. Quel est son nouveau prix ?,900 000 euros
Vie quotidienne,Quel plat japonais est constitué de poissons crus et de riz vinaigré?,Le sushi
Vie quotidienne,"Quel arbuste de la famille des saxifragacées, dont le nom est tiré du latin signifiant “de jardin”, est cultivé pour ses grosses boules de fleurs ?",L'hortensia
Vie quotidienne,"Familièrement, quelle tête d'outil de jardinage désigne une personne têtue ?",Une tête de pioche
Vie quotidienne,"Complétez les paroles du tube du groupe Licence IV : ""Allez viens boire un p'tit coup à la maison, y a du blanc, y a du rouge du...",Saucisson
Vie quotidienne,Quel mot composé anglais désignait jusqu'en 2009 la réception mondaine donnée le 14 juillet dans les jardins de l'Élysée ?,La garden party
Vie quotidienne,Quelle boisson est la spécialité de la ville de Limoux ?,La blanquette
Vie quotidienne,"En France, comment nomme-t-on la chambre haute du parlement ? ",Le sénat
Vie quotidienne,Quel liquide du corps humain appelle-t-on familièrement l'hémoglobine ?,Le sang
Savoirs académiques,"Si la chouette qui est essentiellemnt active la nuit est dite rapace nocturne, le faucon surtout actif le jour est dit rapace...",Diurne
Savoirs académiques,Quelle oeuvre de Maurice Ravel est devenue une chorégraphie emblématique de Maurice Béjart ?,Le Boléro
Savoirs académiques,"Quelle célébre formule d'équivalence entre la masse et l'énergie a été rédigée par Albert Einstein, en 1905 ? ",E = MC2
Savoirs académiques,"En avril 1990, quel téléscope spatial, portant le nom d'un astrophysicien américain, est mis en orbite par la navette ""Discovery"" ? ",Hubble
Savoirs académiques,Dans quel ordre architectural typique de la Grèce ancienne le chapiteau est-il décoré de feuilles d'acanthes ? ,Ordre corinthien
Savoirs académiques,"Dans la langue française, quel terme désigne une répétition de mots dont le sens est identique comme dans la formule ""monter en haut"" ? ",Un pléonasme
Savoirs académiques,"Outre ""la Madone"", quel autre tableau d'Edvard Munch a été volé en 2004 et retrouvé en 2006 ?",Le cri
Savoirs académiques,"Quelle locution désigne la température la plus basse qu'il est théoriquement possible d'atteindre, correspondant à - 273,15 °C",Le zéro absolu
Savoirs académiques,"A quel grand compositeur autrichien du XIXe siècle doit-on ""La Truite"" et ""Le Roi des Aulnes"" ?",Franz Schubert
Savoirs académiques,"Au théâtre, comment appelle-t-on l'ultime répétition d'une pièce avant la première, sous la forme d'une représentation devant un public d'invités ?",La générale
Savoirs académiques,"Dans quelle ville italienne se trouve la Galerie des Offices, l'un des musées les plus célèbres au monde ?",Florence
Connaissance du monde,"Quel petit instrument à vent, formé d'une boîte munie d'une ou rangées d'anches libres, est appelé ""ruine babine"" dans l'argot québécois ? ",L'harmonica
Connaissance du monde,"En français, quel nom porte la grand-place de Venise ?",La place Saint-Marc
Connaissance du monde,"En 1697, dans quel conte de Perrault un enfant utilise-t-il un stratagème pour sauver ses frères de l'avidité d'un ogre ? ",Le petit poucet
Connaissance du monde,Quelle fête chrétienne est célébrée en mémoire de la descente de l'Esprit-Saint sur les apôtres ?,La Pentecôte
Connaissance du monde,"En août 1572 à Paris, le jour de la fête de quel saint le massacre des protestants a-t-il eu lieu ?",Barthélémy
Connaissance du monde,Dans quel département français se trouve la ville de Paris ?,Paris
Connaissance du monde,"Dans la mythologie grecque, quel héros, époux de Pénélope, connaît une longue odyssée ?",Ulysse
Connaissance du monde,"Dans quel conte d'Andersen l'héroïne reçoit-elle un élixir pour que sa queue devienne ""ce que les hommes appellent deux belles jambes"" ? ",La petite sirène
Connaissance du monde,Quel nom de famille identique portaient le 26e et le 32e président des États-Unis ?,Roosevelt
Connaissance du monde,"Dans ""Le Roi Lion"", quel animal est Pumbaa ?",Un phacochère
Connaissance du monde,"Quel sport, qui est également le nom du serment signé en juin 1789, est considéré comme l'ancêtre du tennis ?",Le jeu de paume
Éliminatoire,"Quel nom ont en commun une variété de poire, le chanteur britannique Robbie et les deux soeurs américaines reines du tennis ?",Williams
Éliminatoire,"De quel sport est dérivé le sandball, sport qui se pratique sur la plage ?",Le handball
Éliminatoire,Dans quelle grande ville française peut-on se promener sur la Canebière ?,Marseille
Finale,"Dans la bande dessinée créée par Morris, quel est le nom du cheval de Lucky Luke ?",Jolly Jumper
