category,question,answer
"Pop culture, loisirs et sports","Quelle chanteuse porte une combinaison en cuir rouge dans le clip ""Oops, I did it again"" ?",Britney Spears
"Pop culture, loisirs et sports",Quelle est la forme du terrain de football australien ?,Ovale
"Pop culture, loisirs et sports",Dans quel jeu vidéo le joueur doit sauver une jeune fille en combattant et tuant d'immenses colosses ?,Shadow of the Colossus
"Pop culture, loisirs et sports",Quel est le prénom de Picsou ?,Balthazar
"Pop culture, loisirs et sports",Dans quelle série espagnole peut-on voir des sosies de Dali en combinaisons rouges ?,La Casa de Papel
"Pop culture, loisirs et sports",Quel était l'instrument favori de Louis Armstrong ?,La trompette
"Pop culture, loisirs et sports","Quwelle actrice joue le rôle de la rédactrice en chef influente et caractérielle dans le film ""Le Diable s'habille en Prada"" ?",Meryl Streep
"Pop culture, loisirs et sports",Quelle entreprise a créé la console de jeu Dreamcast ?,Sega
"Pop culture, loisirs et sports","Dans quel manga le personnage principal rêve à devenir le ""Roi des Pirates"" ?",One Piece
"Pop culture, loisirs et sports","Dans les compétitions internationales de basket-ball, combien de fautes personnelles un joueur peut-il commettre avant d'être exclu du terrain ?",Cinq
"Pop culture, loisirs et sports","Quel objet, popularisé dans les années 80 et prenant la forme de l'un des cinq solides de Platon, consiste en un casse-tête à six couleurs ?",Rubik's Cube
Vie quotidienne,Quel est le nom de la méthode de couture à la main qui consiste à assembler des petits morceaux de tissu pour former un motif ?,Patchwork
Vie quotidienne,"Quel président français a prononcé le discours ""Je vous ai compris"" en Algérie en 1958 ?",Charles de Gaulle
Vie quotidienne,"Quelle voiture française, produite par Renault, a été particulièrement populaire dans les années 60 et 70, avec un design arrondi?",Renault 4L
Vie quotidienne,Quelle vitamine est essentielle pour la santé des os ?,Vitamine D
Vie quotidienne,"Qui est l'expert chargé de sélectionner, servir et conseiller sur les vins dans un restaurant?",Sommelier
Vie quotidienne,Quel plat français est fait de purée de pommes de terre et d'ail mélangée avec de la crème et du beurre?,Aligot
Vie quotidienne,"Quelle mention est régulièrement ajoutée au message ""L'abus d'alcool est dangeureux pour la santé"" ?",À consommer avec modération
Vie quotidienne,Comment s'appelle le chien qu'on voit sur les boîtes de Chocapic ?,Pico
Vie quotidienne,Quel organe filtre le sang et élimine les déchets du corps?,Rein
Vie quotidienne,Quel expression latine désigne le document résumant la formation et l'expérience professionnelle d'un individu ?,Curriculum Vitae
Vie quotidienne,Dans quel chaîne de magasins d'origine suédoise peut-on acheter des meubles en kit à assembler soi-même?,IKEA
Savoirs académiques,"Qui est l'auteur de ""La machine à explorer le temps"" et ""La Guerre des mondes"" ?",H. G. Wells
