category,question,answer
Pop culture,"Quelle chanteuse porte une combinaison en cuir rouge dans le clip ""Oops, I did it again"" ?",Britney Spears
Pop culture,"Quel film de 1994, réalisé par Quentin Tarantino, met en scène des gangsters, une montre d'or et une overdose ?",Pulp Fiction
Pop culture,Dans quel jeu vidéo le joueur doit sauver une jeune fille en combattant et tuant d'immenses colosses ?,Shadow of the Colossus
Pop culture,Quel est le prénom de Picsou ?,Balthazar
Pop culture,Dans quelle série espagnole peut-on voir des sosies de Dali en combinaisons rouges ?,La Casa de Papel
Pop culture,Quel était l'instrument favori de Louis Armstrong ?,La trompette
Pop culture,"Quelle actrice joue le rôle de la rédactrice en chef influente et caractérielle dans le film ""Le Diable s'habille en Prada"" ?",Meryl Streep
Pop culture,Quelle entreprise a créé la console de jeu Dreamcast ?,Sega
Pop culture,"Dans quel manga le personnage principal rêve à devenir le ""Roi des Pirates"" ?",One Piece
Pop culture,Quelle série TV raconte les aventures des habitants de Westeros ?,Game of Thrones
Pop culture,Dans quel série de jeux vidéos contrôlez-vous un plombier moustachu ?,Super Mario
Vie quotidienne,Quel est le nom de la méthode de couture à la main qui consiste à assembler des petits morceaux de tissu pour former un motif ?,Patchwork
Vie quotidienne,"Quel président français a prononcé le discours ""Je vous ai compris"" en Algérie en 1958 ?",Charles de Gaulle
Vie quotidienne,"Quelle voiture française, produite par Renault, a été particulièrement populaire dans les années 60 et 70, avec un design arrondi?",Renault 4L
Vie quotidienne,Quelle vitamine est essentielle pour la santé des os ?,Vitamine D
Vie quotidienne,"Qui est l'expert chargé de sélectionner, servir et conseiller sur les vins dans un restaurant?",Sommelier
Vie quotidienne,Quel plat français est fait de purée de pommes de terre et d'ail mélangée avec de la crème et du beurre?,Aligot
Vie quotidienne,"Quelle mention est régulièrement ajoutée au message ""L'abus d'alcool est dangeureux pour la santé"" ?",À consommer avec modération
Vie quotidienne,Comment s'appelle le chien qu'on voit sur les boîtes de Chocapic ?,Pico
Vie quotidienne,Quel organe filtre le sang et élimine les déchets du corps?,Rein
Vie quotidienne,Quel expression latine désigne le document résumant la formation et l'expérience professionnelle d'un individu ?,Curriculum Vitae
Vie quotidienne,Dans quel chaîne de magasins d'origine suédoise peut-on acheter des meubles en kit à assembler soi-même?,IKEA
Loisirs et sports,Quelle est la forme du terrain de football australien ?,Ovale
Loisirs et sports,Qui sont les frères à l'origine de la création de la série Stranger Things ?,Matt et Ross Duffer
Loisirs et sports,"Dans quel jeu de société doit-on découvrir le meurtrier, l'arme du crime et le lieu du meurtre?",Cluedo
Loisirs et sports,"Dans le domaine esthétique, qu'appelait-on une mouche, dans l'Ancien Régime ?",Un grain de beauté
Loisirs et sports,"Quel monument ancien, constitué de pierres dressées, se trouve dans le comté de Wiltshire, en Angleterre?",Stonehenge
Loisirs et sports,Quelle athlète américaine a remporté 23 titres du Grand Chelem en simple dames au tennis?,Serena Williams
Loisirs et sports,Quel est le nom de l'inventeur du World Wide Web?,Tim Berners-Lee
Loisirs et sports,Quel jouet a été popularisé dans les années 80 et est composé de 6 couleurs sur un cube tournant?,Rubik's Cube
Loisirs et sports,Quelle icône de la mode a été le rédacteur en chef du magazine Vogue pendant de nombreuses années?,Anna Wintour
Loisirs et sports,"Dans quel pays peut-on visiter la ville ancienne de Petra, célèbre pour son architecture taillée dans la roche?",Jordanie
Loisirs et sports,"Quel jeu de plateau exige des joueurs qu'ils acquièrent des propriétés, des maisons et des hôtels pour ruiner leurs adversaires?",Monopoly
Savoirs académiques,"Qui est l'auteur de ""La machine à explorer le temps"" et ""La Guerre des mondes"" ?",H. G. Wells
Savoirs académiques,Quel artiste a peint 'La Nuit étoilée'?,Vincent van Gogh
Savoirs académiques,Qui est souvent considéré comme le père de la psychanalyse?,Sigmund Freud
Savoirs académiques,"Quel mathématicien britannique célèbre pour avoir contribué au décryptage des codes ennemis pendant la seconde guerre mondiale, est le héros du film ""The Imitation Game"" ?",Alan Turing
Savoirs académiques,Quel élément chimique a pour symbole 'Au' ?,Or
Savoirs académiques,Quelle tragédie de William Shakespeare raconte l'histoire d'un prince danois qui cherche à venger la mort de son père?,Hamlet
Savoirs académiques,"Dans quelle ville italienne se trouve la Galerie des Offices, l'un des musées les plus célèbres au monde?",Florence
Savoirs académiques,Quel philosophe a écrit 'Le Contrat social' ?,Jean-Jacques Rousseau
Savoirs académiques,Quel est le nom du créateur de la première version du système d'exploitation Linux ?,Linus Torvalds
Savoirs académiques,Quelle maladie est causée par le virus VIH ?,SIDA
Savoirs académiques,Quel nom est donné à la branche de la médecine qui étudie et traite les maladies du cœur et des vaisseaux ?,Cardiologie
Connaissance du monde,Quelle reine anglaise est associée à l'ère victorienne ?,Reine Victoria
Connaissance du monde,"Quel organe associé au mot ""perce"" forme le nom d'un insecte ?",Perce-oreille
Connaissance du monde,Quel est le nom français pour la focaccia ?,La fougasse
Connaissance du monde,"Dans la mythologie grecque, qui est le dieu de la mer, des tremblements de terre et des chevaux ?",Poséidon
Connaissance du monde,Quel plat japonais est constitué de poissons crus et de riz vinaigré?,Sushi
Connaissance du monde,"Quel traîté de paix, signé en 1919, a mis fin à la première guerre mondiale ?",Le traité de Versailles
Connaissance du monde,Quel oiseau d'Antarctique a un nom synonyme d'amputé d'une main ou d'un bras ?,Le manchot
Connaissance du monde,"Quelle est la traduction de l'expression ""Mens sana in corpore sano"" ?",Un esprit sain dans un corps sain
Connaissance du monde,"Dans les superstitions occidentales, quel mammifère est souvent considéré comme de mauvais augure en raison de son pelage ?",Chat noir
Connaissance du monde,"Quel plat italien est fait de fines tranches de viande crue, généralement servies comme entrée ?",Carpaccio
Connaissance du monde,Quelle créature mythologique est souvent décrite comme une femme avec le bas du corps d'un poisson ?,Sirène
Éliminatoire,Qui était le président de la République française de 1995 à 2007?,Jacques Chirac
Éliminatoire,"Quelle ville italienne est célèbre pour ses canaux, ses gondoles et la place Saint-Marc ?",Venise
Éliminatoire,"Quelle est la spécialité espagnole constituée de riz, de légumes, de viande et/ou de fruits de mer, cuite dans une grande poêle?",Paella
Éliminatoire,Quel est le nom du service de réservation de voiture avec chauffeur fondé en 2009 ?,Uber
Qualification,Quel nom de chouette sifnigie aussi « qui fait peur » ?,Chouette effraie.
Qualification,Quelle institution siège au Palais Bourbon à Paris ?,L'Assemblée nationale.
Qualification,En combien de degrès un cercle est-il divisé ?,Un cercle est divisé en 360 degrés.
Qualification,Dans quelle série trois soeurs utilisent « Le Livre des Ombres » comme bible de sorcellerie ?,Charmed.
Qualification,Qui est le dieu romain de la médecine ? Esculape ou Asclépios,Esculape.
Qualification,Quel métal désigne le comptoir d’un bar ?,Zinc
Qualification,Quelle cuisson à l’eau consiste à faire chauffer un récipient et son contenu dans un bain bouillant ?,La cuisson au bain-marie.
Qualification,Quel pays Iris Mittenaere représentait-elle à l’élection de Miss Univers 2016 ?,La France.
Qualification,Comme qualifie-t-on une chevelure brune parsemée de cheveux blancs ?,Poivre et sel
Qualification,À quelle discipline sportive le nom « Liège-Bastogne-Liège » fait-il référence ?,Le cyclisme sur route.
Qualification,"Dans « Peter Pan », dans quelle ville Wendy, Michel et Jean vivent-ils ?",Londres
Qualification,Quelle est l’origine du mot « cappuccino » ?,Italienne
Qualification,Dans quel musée national du Moyen Âge peut-on voir la tapisserie « La Dame à la licorne » ? Cluny,"Musée national du Moyen Âge, Musée de Cluny."
Qualification,Quel écrivain américain a écrit « Paris brûle-t-il ? » avec Dominique Lapierre ? Larry Collins,Larry Collins
Qualification,"Dans le langage médical, le sigle PMA signifie « Procréation Médicalement…",Assistée
Qualification,Qui a écrit « Les Précieuses ridicules » ?,Molière.
Qualification,Comment appelle-t-on l’augmentation rapide et importante du volume des eaux d’une rivière ?,Crue
Qualification,Quel britannique né en 1808 est l’inventeur des voyages organisés ? Thomas Cook,Thomas Cook
Qualification,Dans quelle commune habitent les Grand-Mottois ?,La Grande-Motte
