category,question,answer
"Pop culture, loisirs et sports","Quel artiste américain était, entre autres, surnommé Bambi ?",Mickael Jackson
"Pop culture, loisirs et sports","En 2023, quel film de Christopher Nolan est une biographie du père de la bombe atomique ? ",Oppenheimer
"Pop culture, loisirs et sports",Quel personnage vorace est apparu sur plus de 100 000 bornes d'arcade dans les années 80 ?,Pacman
"Pop culture, loisirs et sports","Dans un dessin animé, quel chien accompagne Freddy, Daphné, Véra et Samy à bord de la Mystery Machine ?",Scooby-Doo
"Pop culture, loisirs et sports","En 1996 à Atlanta, quel perchiste français devient champion olypique en franchissant une barre placée à 5 m 92 ? ",Jean Galfione
"Pop culture, loisirs et sports",Quelle chanson de David Bowie évoque un astronaute perdu nommé Major Tom ?,Space Oddity
"Pop culture, loisirs et sports","Qui sont les petits personnages jaunes avec un seul œil de Moi, Moche et Méchant ?",Minions
"Pop culture, loisirs et sports",Quelle console de jeu est connue pour sa manette à trois branches sorti dans les années 90?,Nintendo 64
"Pop culture, loisirs et sports",Comment s'appelle le château dont hérite le capitaine Haddock dans Tintin ?,Moulinsart
"Pop culture, loisirs et sports",Quel pilote français a remporté 9 titres consécutifs en championnat du monde des rallyes ?,Sébastien Loeb
"Pop culture, loisirs et sports",Quel jouet a été popularisé dans les années 80 et est composé de 6 couleurs sur un cube tournant ?,Rubik's Cube
Vie quotidienne,Quel plat canadien est composé de frites recouvertes de fromage en grains et de sauce brune ?,La poutine
Vie quotidienne,Quelle est la durée du mandat d'un maire en France ?,6 ans
Vie quotidienne,À quel mot le M de MEDEF correspond-il ?,Mouvement
Vie quotidienne,"En cuisine, quelle sauce blanche, devant son nom à un marquis, est faite avec du roux et du lait ? ",La béchamel
Vie quotidienne,"Depuis 1921, quel nom donne-t-on à l'ensemble des lois et règlements régissant la circulation sur la voie publique ?",Le code de la route
Vie quotidienne,"Quels petits morceaux de pâtes carrées, souvent à base de sarrazin, sont une spécialité savoyarde ?",Les crozets
Vie quotidienne,De quelle discipline le Bikram et le Kundalini sont-ils des formes ?,Le yoga
Vie quotidienne,"Avec quelle crème pâtissière additionnée de poudre d'amandes, devant son nom à un parfumeur italien, garnit-on la galette des rois ? ",La frangipane
Vie quotidienne,Par quelle expression désigne-t-on la quantité de biens et de services que l'on peut se procurer avec une somme d'argent déterminée ? ,La pouvoir d'achat
Vie quotidienne,Quel expression latine désigne le document résumant la formation et l'expérience professionnelle d'un individu ?,Curriculum Vitae
Vie quotidienne,Le sigle O.M.S. signifie : Organisation Mondiale de la ...,Santé
Savoirs académiques,"Quel os de la jambe s'articule en haut avec le fémur, pour former le genou, et en bas avec l'astragale et le péroné ?",Le tibia
Savoirs académiques,"Quelle cantatrice américaine et grecque, disparus en 1977, est considérée comme l'une des plus grandes divas de l'histoire ? ",Maria Callas
Savoirs académiques,Quel nom donne-t-on à la représentation en projection plane de la sphère terrestre ? ,Un planisphère
Savoirs académiques,"En architecture, quel bandeau de faible largeur, peint ou sculpté, décore le haut d'un édifice ou d'une pièce ? ",Une frise
Savoirs académiques,"À quelle époque de l'année le Soleil atteint sa plus forte déclinaison boréale ou australe, ce qui se traduit par une durée du jour minimale ou maximale ?",Le solstice
Savoirs académiques,Quel opus de l'œuvre d'Agatha Christie se déroule dans un train de wagons-lits roulant entre Istambul et Calais ?,Le Crime de l'Orient Express
Savoirs académiques,Comment s'appelle le lanceur européen permettant de mettre sur orbite des satellites ?,Ariane
