category,question,answer
"Pop culture, loisirs et sports",Quelle est la forme du terrain de football australien ?,Ovale
"Pop culture, loisirs et sports","Quelle chanteuse porte une combinaison en cuir rouge dans le clip ""Oops, I did it again"" ?",Britney Spears
"Pop culture, loisirs et sports","Quel film de 1994, réalisé par Quentin Tarantino, met en scène des gangsters, une montre d'or et une overdose?",Pulp Fiction
"Pop culture, loisirs et sports","Dans quel manga le personnage principal rêve à devenir le ""Roi des Pirates"" ?",One Piece
"Pop culture, loisirs et sports",Quel est le prénom de Picsou ?,Balthazar
"Pop culture, loisirs et sports",Quelle athlète américaine a remporté 23 titres du Grand Chelem en simple dames au tennis?,Serena Williams
"Pop culture, loisirs et sports",Quel était l'instrument favori de Louis Armstrong ?,La trompette
"Pop culture, loisirs et sports","Quelle actrice joue le rôle de la rédactrice en chef influente et caractérielle dans le film ""Le Diable s'habille en Prada"" ?",Meryl Streep
"Pop culture, loisirs et sports",Quelle entreprise a créé la console de jeu Dreamcast?,Sega
"Pop culture, loisirs et sports",Dans quel série de jeux vidéos contrôlez-vous un plombier moustachu ?,Super Mario
"Pop culture, loisirs et sports",Quel jouet a été popularisé dans les années 80 et est composé de 6 couleurs sur un cube tournant ?,Rubik's Cube
Vie quotidienne,Quel est le nom de la méthode de couture à la main qui consiste à assembler des petits morceaux de tissu pour former un motif ?,Patchwork
Vie quotidienne,"Quel président français a prononcé le discours ""Je vous ai compris"" en Algérie en 1958 ?",Charles de Gaulle
Vie quotidienne,"Quelle voiture française, produite par Renault, a été particulièrement populaire dans les années 60 et 70, avec un design arrondi ?",Renault 4L
Vie quotidienne,Quelle vitamine est essentielle pour la santé des os ?,Vitamine D
Vie quotidienne,"Qui est l'expert chargé de sélectionner, servir et conseiller sur les vins dans un restaurant ?",Sommelier
Vie quotidienne,Quel plat français est fait de purée de pommes de terre et d'ail mélangée avec de la crème et du beurre ?,Aligot
Vie quotidienne,"Quelle mention est régulièrement ajoutée au message ""L'abus d'alcool est dangeureux pour la santé"" ?",À consommer avec modération
Vie quotidienne,Comment s'appelle le chien qu'on voit sur les boîtes de Chocapic ?,Pico
Vie quotidienne,Quel organe filtre le sang et élimine les déchets du corps ?,Rein
Vie quotidienne,Quel expression latine désigne le document résumant la formation et l'expérience professionnelle d'un individu ?,Curriculum Vitae
Vie quotidienne,Le sigle O.M.S. signifie : Organisation Mondiale de la ...,Santé
Savoirs académiques,"Qui est l'auteur de ""La machine à explorer le temps"" et ""La Guerre des mondes"" ?",H. G. Wells
Savoirs académiques,"Quel artiste a peint ""La Nuit étoilée"" ?",Vincent van Gogh
Savoirs académiques,Qui est souvent considéré comme le père de la psychanalyse ?,Sigmund Freud
Savoirs académiques,"Quel mathématicien britannique célèbre pour avoir contribué au décryptage des codes ennemis pendant la seconde guerre mondiale, est le héros du film ""The Imitation Game"" ?",Alan Turing
Savoirs académiques,Quel élément chimique a pour symbole 'Au'?,Or
Savoirs académiques,Quelle tragédie de William Shakespeare raconte l'histoire d'un prince danois qui cherche à venger la mort de son père ?,Hamlet
Savoirs académiques,Quel nom est donné à la branche de la médecine qui étudie et traite les maladies du cœur et des vaisseaux ?,Cardiologie
Savoirs académiques,"Quel philosophe a écrit ""Le Contrat social"" ?",Jean-Jacques Rousseau
Savoirs académiques,"Quel entrepreneur, parmi les personnalités les plus riches du monde, a cofondé Microsoft avec Paul Allen ?  ",Bill Gates
Savoirs académiques,Quelle maladie est causée par le virus VIH ?,SIDA
Savoirs académiques,"Dans quelle ville italienne se trouve la Galerie des Offices, l'un des musées les plus célèbres au monde?",Florence
Connaissance du monde,Quelle reine anglaise est associée à l'ère victorienne ?,Reine Victoria
Connaissance du monde,"Quel organe associé au mot ""perce"" forme le nom d'un insecte ?",Perce-oreille
Connaissance du monde,"De quel pays d'Asie, Myanmar est-il le nom officiel depuis 1989 ?",La Birmanie
Connaissance du monde,"Dans la mythologie grecque, qui est le dieu de la mer, des tremblements de terre et des chevaux ?",Poséidon
Connaissance du monde,"Comment appelle-t-on une vallée glaciaire envahie par la mer, formée par l'érosion d'un glacier et caractérisée par des parois abruptes ?",Un fjord
Connaissance du monde,"Quel traîté de paix, signé en 1919, a mis fin à la première guerre mondiale ?",Le traité de Versailles
Connaissance du monde,Quel oiseau d'Antarctique a un nom synonyme d'amputé d'une main ou d'un bras ?,Le manchot
Connaissance du monde,"Quelle est la traduction de l'expression ""Mens sana in corpore sano"" ?",Un esprit sain dans un corps sain
Connaissance du monde,"Dans les superstitions occidentales, quel mammifère est souvent considéré comme de mauvais augure en raison de son pelage ?",Chat noir
Connaissance du monde,"Quel plat italien est fait de fines tranches de viande crue, généralement servies comme entrée ?",Carpaccio
Connaissance du monde,Quelle créature mythologique est souvent décrite comme une femme avec le bas du corps d'un poisson?,Sirène
Éliminatoire,Qui était le président de la République française de 1995 à 2007 ?,Jacques Chirac
Éliminatoire,"Quel héros mythologique triompha de la Chimère, grâce au cheval ailé Pégase qu'il avait dompté ?",Bellérophon
Éliminatoire,"Quelle est la spécialité espagnole constituée de riz, de légumes, de viande et/ou de fruits de mer, cuite dans une grande poêle ?",Paella
Finale,"Quelle trilogie littéraire de science-fiction, dans laquelle des adolescents s'affrontent dans un jeu télévisé, a été publiée par Suzanne Collins ?",Hunger Games
Finale,"Quel arbre est représenté par l'espèce dite ""Salix babylonica"", dont les longs rameaux pendants prennent rapidement de l'ampleur ?",Le saule pleureur
Finale,"Quelle artiste française, disparue en 2002, est connue pour ses sculptures monumentales et multicolores appelées ""Nanas"" ?",Nikki de Saint Phalle
Finale,Sur quel continent se situe la Mongolie ?,L'Asie
