category,question,answer
"Pop culture, loisirs et sports","Quel joueur de football français, à l'époque meilleur buteur de l'histoire des ""bleus"", a pris sa retraite internationale en juillet 2010 ?",Thierry Henry
"Pop culture, loisirs et sports","En combien de temps, Usain Bolt a-t-il effectué la finale du 100 m, lors des championnats du monde d'athlétisme de Berlin ?",9 secondes et 58 centièmes
"Pop culture, loisirs et sports","Quel est le nom de famille de Danny, personnage incarné par George Clooney dans le film : ""Ocean's Eleven"" ?",Ocean
"Pop culture, loisirs et sports","Dans quel jeu vidéo, vendu à plus de 300 millions d'exemplaires, les joueurs doivent-ils manupiler des cubes ?",Minecraft
"Pop culture, loisirs et sports",Quelle est la langue obligatoire de l'escrime ? ,Le français
"Pop culture, loisirs et sports",Qui habite au 221 b Baker Street  à Londres ? ,Sherlock Holmes
"Pop culture, loisirs et sports",Quelle chanteuse franco-malienne a chanté avec la garde républicaine pour la Cérémonie d'ouverture des Jeux olympiques de 2024 ?,Aya Nakamura
"Pop culture, loisirs et sports",Quelle icône de la mode a été le rédacteur en chef du magazine Vogue pendant de nombreuses années?,Anna Wintour
"Pop culture, loisirs et sports","De 1991 à 1995, avec quelle mannequin Richard Gere forme-t-il l'un des couples les plus glamour d'Hollywood ?",Cindy Crawford
"Pop culture, loisirs et sports","Dans la franchise de jeux vidéos Zelda, quel est le prénom du héros ? ",Link
"Pop culture, loisirs et sports","Dans One Piece, comment s'appelle le héros au chapeau de paille ?",(Monkey D.) Luffy
Vie quotidienne,"En cuisine, quel prénom masculin féminisé donne-t-on à des légumes coupés en bâtonnets ?",Julienne
Vie quotidienne,Combien de bouteilles un magnum de champagne contient-il ? ,Deux
Vie quotidienne,Apès combien d'années de mariage célèbre-t-on les noces d'or ? ,50 ans
Vie quotidienne,Quel est le nom de l'alphabet destiné aux aveugles ? ,Le braille
Vie quotidienne,Combien de temps la lune met-elle pour tourner autour de la Terre ? ,27 jours
Vie quotidienne,Quel est le nom français pour la focaccia ?,La fougasse
Vie quotidienne,Quelle vitamine est essentielle pour la santé des os ?,La vitamine D
Vie quotidienne,Qui était le président de la République française de 1995 à 2007 ?,Jacques Chirac
Vie quotidienne,Quel mot désigne à la fois un petit gâteau sec de forme ronde et une natte de cheveux roulée sur l'oreille ?,Un macaron
Vie quotidienne,"Quel est le prénom du fils aîné du Roi Charles III, héritier du trône d'Angleterre ?",William
Vie quotidienne,Quel liquide du corps humain appelle-t-on familièrement l'hémoglobine ?,Le sang
Savoirs académiques,"Dans la version de 1933 de Walt Disney, les trois petits cochons construisent trois maisons : une en paille, une en bois et une en..",Briques pierres
Savoirs académiques,De quel pays sont originaires les principes du yin et du yang ?,De Chine
Savoirs académiques,Quelle cellule constitue l'unité fonctionnelle du système nerveux ?,Le neurone
Savoirs académiques,Quel est le premire jour du carême ? ,Le mercredi des cendres
Savoirs académiques,Dans quelle ville se trouve le musée de l'Ermitage ? ,Saint-Petersbourg
Savoirs académiques,Quelle est la particularité du roman de Georges Perec : La Disparition,Il ne comporte pas la lettre E
Savoirs académiques,"Dans la mythologie grecque, quel beau jeune homme s'est épris de sa propre image ? ",Narcisse
Savoirs académiques,Quel chef gaulois gagna la bataille de Gergovie ? ,Vercingetorix
Savoirs académiques,Sous quel nom est plus connu Georges Remi ? ,Hergé
Savoirs académiques,Combien de degrés a un angle plat ?,180 degrés
Savoirs académiques,"Dans quelle ville italienne se trouve la Galerie des Offices, l'un des musées les plus célèbres au monde ?",Florence
Connaissance du monde,Quelle est la capitale de la république d'Irlande ?,Dublin
Connaissance du monde,"Quelle préparation culinaire est constituée de tripes de mouton, roulées en petits paquets et mijotées en sauce ?",Les tripoux ou tripous
Connaissance du monde,Au bord de quel lac la ville de Lausanne se trouve-t-elle ?,Le lac Léman
Connaissance du monde,Combien l'Ile-de-France compte-t-elle de départements ?,8 départements
Connaissance du monde,"Quel département français, ayant pour code géographique 86, porte le même nom qu'une capitale européenne ?",La Vienne
Connaissance du monde,Quel pays administre le Groenland ? ,Le Danemark
Connaissance du monde,Quel scandale a coûté sa présidence à Richard Nixon ? ,Le Watergate
Connaissance du monde,Quel était le slogan de la campagne de François Mitterand en 1981 ? ,La force tranquille
Connaissance du monde,Comment écrit-on 100 en chiffres romains ? ,C
Connaissance du monde,Quelle est la boisson nationale du Mexique ? ,La tequila
Connaissance du monde,"Comme son étymologie l'indique, quel animal élève-t-on en cuniculiculture ?",Le lapin
Éliminatoire,"Quelle lettre est inscrite sur le panneau routier, indiquant l'emplacement d'un parking ?",P
Éliminatoire,"Sur le terrain, combien de joueurs composent une équipe de beach-volley ?",2 joueurs
Éliminatoire,Quel pays a des frontières communes avec la Suisse et l'Espagne ?,La France
Éliminatoire,"Quel très petit chien de compagnie, à tête ronde et aux oreilles dressées, porte le nom d'une ville du Mexique ?",Le chihuahua
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
Qualification,,
